ID,Title,Price_Location,Body_Text
789,Womens Shared Condo Year round,"$315 · Alpine, UT","Mountainwood Condo 62 West 700 North Provo #111
Year around Contract begins Fall 2020.
The starting May 2020 Spring and Summer available for 125/month + util....
See More"
790,1 bed · 1 bath · Room Only,$260 / Month,"SHARED MENS ROOM SUMMER CONTRACT FOR SALE!
We're selling a contract for the rest of the summer, available May 1st! The house is only about 5 blocks from BYU Campus, and right in the heart of downtown Provo! There's plenty of living space, as well as 2 kitchens, 3 bathrooms, in house laundry, and a place to park your car in the driveway!
Rent is $260/mo, with utilities included in the rent!"
791,3 beds · 2 bath · Apartment,$364 / Month,"Hey y'all, so I'm getting married in May and am in need of selling my contract (men's) as soon as possible. The location is amazing! Very close to BYU campus (10 minute walk), also contracted UVU housing. $40 flat rate on utilities. On-site laundry. Dishwasher, microwave, Directv access, Google Fiber internet, 2 fridges, shared room. Complex has a pool, sand volleyball, pool table, and ping pong table. Renewal for fall is available most likely. With most of the roommates moving out and unable to sell contracts it'll basically be private rooms. It's a great place, wonderful roommates, and a great community. I've lived here my entire college career (4 years) and it's been wonderful! Message me if you have additional questions or want to look around."
792,Private Master Bedroom!!,"$480 · Orem, UT","Selling my Master Bedroom contract at Belmont Condominiums! Private bathroom, walk in closet, plenty of storage space, big room. Moving out June 1. I’LL pay half of June, so only $240 for the first month! 🙂 Message me for more details."
793,Private room Womens housing in DC (Noma area),"$950 · Littleton, CO","Hi!
I have a private room in a 2 bedroom/1 bath basement apartment available in NOMA available to move in immediately. The roommate is a gem of a woman and very easy to get along with.
I moved back home bc my work has been suspended due to the pandemic. Otherwise I would definitely be staying. ...
See More"
794,I WILL PAY YOU $300 PER CONTRACT BOUGHT -- Up to 3 available,"$300 · Provo, UT","Bay Terrace BYU Men's Shared rooms
There are up to 3 contracts available. I have moved out and will pay you $300 per contract to buy. Contracts end in August. Currently available for move-in.
-$300/month rent, $150 for month of August, April is already paid for for each contract...
See More"
795,2 mens shared room contracts - 2 months rent already paid!,"$190 · Provo, UT","My roommate and I are selling our shared room contracts at Campus Edge. The contracts go through August, so it would be perfect for the summer! The apartment is great and the ward is amazing! There are lots of amenities including a laundry room and basketball court. Campus Edge is super close to campus, I can get to the center of campus within a few minutes of walking. The apartment is also located right next to a bunch of restaurants and stores. My roommate and I already paid August rent (at the beginning of the lease), and we just paid May rent. That means you'd only have to pay for June and July rent. That makes each contract come out to $190 per month, utilities included! Message me if you're interested!"
796,Spring/summer private room,"$349 · Provo, UT","Normally a $530 room so it’s super discounted!! CollegePlace provo- right south of byu campus. Washer and dryer in unit. Huge gym, clubhouse, and hot tub. Private underground parking spots, also right by a uvx bus stop!"
797,"BEAUTIFUL PRIVATE, SPACIOUS ROOM!!","$500 · Orem, UT","Who’s looking for a place to live over the summer? Located in Provo, Utah right next to BYU!! It’s a wonderful place for such a great price and I wish I could stay but i’m transferring. I have 3 phenomenal roomates and everyone at the complex is so nice! Wonderful people, in house washer and dryer, Pool, basketball court, jacuzzi, wifi, tvs, great parking. Pls message for more details!!"
798,Shared womens room at the riviera!,"$359 · Provo, UT","I’m selling my shared room contract at the Riv! Currently it is a private room because my roommate got married to in February so you’d have it to yourself or you can move in with a friend! It’s 2 bedrooms and 2 bathrooms. It’s available in June and the contract ends in August. It’s $407 a month with utilities, but I will pay for your utilities through August! Message me if interested!
-across the street from BYU campus
-5 min walk to UVX stop
-15 mins from UVU
-pool and hot ...



See More"
799,2 spots at Raintree Commons! Awesome apt. and room mates,"$271 · Provo, UT","2 contracts for sale for summer/spring term! Raintree lowered their rent to $270 for the Summer which INCLUDES utilities and internet!
•Awesome roommates (who supplied an apartment TV)
-Has an awesome clubhouse with pool and hot tub
•Close to BYU and UVU with a shuttle that comes right to the front.
•Brand new super-fast internet!...





See More"
800,Men’s BYU / UVU Private Room at ALPINE VILLAGE (AVAILABLE IMMEDIATELY),"$429 · Provo, UT","- $429 / Month (Contract ends August 15th, 2020 with the option to renew)
- Washer & Dryer included in unit.
- Fully Covered Parking....
See More"
801,3 beds · 2 bath · Apartment,$250 / Month,3 Beds 2 Baths - Apartment
802,1 bed · 0 bath · Room Only,$390 / Month,"Private Women's Room at Carriage Cove Apartments
-Contract ends August
-Utilities not included
-Shared bathroom with one other girl
-Vanity in bedroom...





See More"
803,ISO private rooms for fall,"$400 · Provo, UT","Hey everyone, my sister and I are looking for 2 contracts for Fall and Winter. Here's some criteria we are looking for :
- washer and dryer in unit
- on-site parking
-near BYU ...
See More"
804,1 bed · 1 bath · Apartment,$265 / Month,Selling 2 mens contracts for the Lodges at Glenwood! Selling ASAP with $300 incentive for each contract! Super fun and Social Place! Great Ward! swimming pool and volleyball court on site! Message me if interested!
805,Shared Women's Room in a House SPRING/SUMMER,"$245 · Provo, UT","I have one or two shared contracts in a cute house three blocks from BYU campus! RENEWABLE FOR FALL WINTER.
- washer and dryer in the house
- free guaranteed parking spot ...
See More"
806,4 beds · 2 bath · Apartment,$489 / Month,"4 Beds 2 Baths - Apartment
720 S 1200 W, Orem, UT 84058-5820, United States"
807,Shared Mens Room,"$295 · Provo, UT",April payed for! Need someone to take my contract!! I’ve left already so you can move in ASAP!! Great roommates and close to campus and the bus stop! Free parking and a washer and dryer at the complex! Google fiber WiFi and smart tv! Let me know if interested!!
808,Basement Apartment close to BYU campus! (Married Housing),"$900 · Provo, UT","Available starting May 11th! Very cute, one bed, one bath apartment. Walk-in closet. Large bedroom. Brand new dishwasher in unit. Large pantry with storage space! Great location- one block east of University Parkway and just south of BYU campus and the Provo Library. Utilities not included in base price, but come in less than $100. Parking spot included behind apartment- free of charge- and plenty of street parking right in front. New, high capacity washer and dryer unit at the back of the house shared with other occupants of the house! The kitchen table and a small wardrobe comes free with the apartment if you want it! House is set up with Google Fiber! (sorry for the boxes in the photos- we're currently moving!)"
809,2 spots at Raintree Commons *Discounted Price*,"$270 · Provo, UT","2 contracts for sale for summer/spring term! Raintree lowered their rent to $270 for the Summer which INCLUDES utilities and internet!
•Awesome roommates who are fun and also considerate
-Has an awesome clubhouse with pool and hot tub
•Close to BYU and UVU with a shuttle that comes right to the front.
•Brand new super-fast internet!...





See More"
810,Isles contract,"FREE · Provo, UT",ISO 1-2 women’s isles contracts for fall semester! Not interested in any spring summer contracts start all. Let me know you you have one
811,Branbury Shared Women's Apartment,"$279 · Provo, UT","APRIL RENT FREE! 'And we'll pay you $400 each contract to discount the rent! Available immediately! Shared room at the Branbury apartments, both contracts available so guaranteed move-in with your friend! Starting in May, ONLY $279 A MONTH, UTILITIES INCLUDED! Both contracts original price $379, but we are willing to pay the additional $100 a month per contract, and we'll Venmo you the $400 to cover the discounted rate. Great roommates! Super nice apartment with a hot tub, pool, gym, tanning bed, sand volleyball courts, basketball courts, game room, laundry, great parking! 2 bed 2 bath. Shared room and bathroom. 2 people per room, 4 people total. Contract goes until August. Please contact ASAP!"
812,Private Room $350 Chambery Condos,"$350 · Vineyard, UT","Private room available now! The is the nicest place I've lived. There is plenty of storage, laundry, great kitchen, and common area. It is a shared bathroom with one other girl. $375 deposit, rent it $350/month and utilities are separate. Location is great, right across the freeway from UVU. Contract goes till end of July with the option to renew. Please message me if you want more details."
813,LIBERTY SQUARE CONTRACT,"$426 · Provo, UT","Need to sell my Spring/Summer contract at Liberty Square ASAP! Best place to live. 3 blocks from campus, 3 minute walk to UVX bus stop. Shared room but really awesome and chill roommates! You would only share a bathroom with your one roommate. Lots of storage space and a full kitchen and living room with a TV. Pool/hot tub, gym, covered parking (extra, but usually easy to park on street). Seriously the best place to live. $426 each month (with utilities)! Message me for more details!"
814,1 bed · 1 bath · Apartment,$379 / Month,"1 Bed 1 Bath - Apartment
718 W 1720 N, Provo, UT 84604-2423, United States"
815,PRIVATE ROOM AT CARRIAGE COVE!!,"$380 · Provo, UT",Large private room available May 2nd!! And I’m taking $100 off Mays rent if you buy now! You’d only have 2 other roommates and it’s close to a UVX and BYU shuttle bus stop!! Message me if interested and I’ll show you more pics and give more information!!
816,1 bed · 1 bath · Apartment,$420 / Month,Discounted to 300!! Normally 420!! Move in ASAP! Goes until August!
817,ISO two private rooms August 1!!,"FREE · Orem, UT","My friend and I are looking for two private rooms starting August 1! Need good parking! Preferably in Orem!
Message me if you have anything starting in August!"
818,Mens rooms,"$425 · Orem, UT","2 private rooms for rent in Orem by midtown 360!! $425 includes WiFi and all utilities! No smoking, drinking etc! No pets allowed! Available ASAP!! Security deposits same as first months rent!"
819,3 beds · 2 bath · Apartment,$386 / Month,"Selling a woman's SPRING/SUMMER contract at Liberty Square. It's a shared room and $386/month (that's rent + utilities). Unfortunately, I never got to move in to this apartment; I moved back home because of Corona. I would like to sell it ASAP and will put money in to help with the payment."
820,Private Room BYU Approved,"$350 · Provo, UT",I'm selling a lease at The Branbury in Provo! It's a men's private room and I'm willing to pay $100 a month on the lease (it's usually $450 a month). Parking is included and can move in asap!
821,4 beds · 2 bath · Apartment,$400 / Month,Trying to sell ASAP!! Great place to live!! Message for more details!!!
822,"ISO private room, private bath","FREE · Provo, UT","I'm looking for somewhere to live FALL 2020
• private room
• preferably has a private bath
• parking included/cheap...




See More"
823,2 beds · 1 bath · Apartment,$950 / Month,"We are moving out and this apartment will available May 16- 22nd with all of Mays rent paid for. 2 bedroom 1 bath apartment it has more then optimal amount of storage in and out of the apartment plus most of the living amenities are staying with the apartment when we move. Rent is $950, the only utilities you pay is gas and power the rest is covered by the landlord. Our monthly average is about $60 for both so in total you pay $1010. Washer and dryer hookup, 1 saved parking space plus one more reserved parking. Carpets will be professionally cleaned. Message me with questions/ request for more pictures or if you'd like a virtual tour!"
824,Shared Room or Single!,"$350 · Orem, UT",Hey! I have a contract available at parkway lofts!! It is 355$ + utilities but we will make it 255 + utilities!! The other bed is also available! If the other bed is not sold you would have your own room:) If you want a private room we will make it 510 instead of 710!! It has AC and laundry in the unit!! with permit parking! The lease goes till August 2020 and you can choose to sign another lease if you want! Super cute and super nice roommates! Available ASAP:) willing to negotiate the discount!!
825,MENS private room available ASAP,"$400 · Lindon, UT","MENS Private room available ASAP! Located in North Orem.
$400/month plus utilities(usually around $15-20)
3 min from uvu...
See More"
826,Women's apartment spring/summer & renewable!,"$300 · Provo, UT","I'm selling my contract at Alta!
-BYU approved
-Just a block away from BYU campus
-Shared room
-5 other roommates, 2 bathrooms, 3 bedrooms (2 roommates per bedroom)...





See More"
827,3 beds · 2 bath · Room Only,$300 / Month,"3 Beds 2 Baths - Room only
1850 N University Ave, Provo, UT 84604-1601, United States"
828,Private women's room,"$350 · Provo, UT","Hi! I'm selling my contract for summer semester!
It is in Windsor park and it is very close to BYU, Target, Macey's, Macdonald, Panda express, CVS, and so on. Especially, this is really good for people who don't have a car.
It is normally $410, but I am paying for you $60 for every month! So $350 for every month and around $50 for utilities.
-washer and dryer inside the apartment...

See More"
829,Private women's room,"$350 · Provo, UT","Hi! I'm selling my contract for summer semester!
It is in Windsor park and it is very close to BYU, Target, Macey's, Macdonald, Panda express, CVS, and so on. Especially, this is really good for people who don't have a car.
$350 for every month and around $50 for utilities.
-washer and dryer inside the apartment...

See More"
830,Belmont Condos Private room,"$200 · Provo, UT","Till Aug , $385 but I will give you $185 every month. Move in ASAP."
831,3 beds · 1 bath · House,"$1,600 / Month","AVAILABLE JUNE 1ST! Newly refurbished basement apartment! Three bedrooms, one bathroom. Private entrance, driveway, and yard. Includes kitchen appliances and washer/dryer. Partially furnished living room and kitchen if so desired. Total rent for three bedrooms is $1,600. Pet friendly. Text Cayleen at (949) 285-6319 for any further inquiries."
832,Male private room(s) available - Carriage Cove - SPRING/SUMMER,"$390 · Provo, UT","April paid for! Message me to discuss the price. Willing to subsidize. Available ASAP. One or multiple contracts available.
Really great place to live, cool people, guaranteed parking, laundry, etc. pool and hot tub once that's allowed again. Management is good."
833,2 beds · 1 bath · Apartment,$300 / Month,Liberty Square contract available ASAP! April and August already paid for and I will pay 100$ towards rent and utilizes each month until August. (Contract is normally 400 + 11 for utilities). No one else lives in my room and the other guys will all be gone by the end of this month so you’ll have the place to yourself! Feel free to message me for any questions!
834,ISO 2 Private rooms,"FREE · Provo, UT","Moving back to Provo in August/September. Anything in either Orem or Provo would be great, thanks!"
835,Shared Mens Room,"$295 · Provo, UT","April payed for, move in ASAP whenever you want. Need to get it off my hands! Good roommates and close to campus and the bus stop!! Expires in August but you are able to re up the contract!!"
836,1 bed · 1 bath · Apartment,$300 / Month,"1 Bed 1 Bath - Apartment
Provo, Utah"
837,Men’s BYU / UVU Private Room at ALPINE VILLAGE (AVAILABLE IMMEDIATELY),"$429 · Provo, UT","- $429 / Month (Contract ends August 15th, 2020 with the option to renew)
- Washer & Dryer included in unit.
- Fully Covered Parking....
See More"
838,1 or 2 BLUERIDGE CONTRACTS,"$305 · Provo, UT","Blueridge Apartments is a hidden gem in Provo! Super cute apartment, everything is new as it was redone just a couple years ago!
Blueridge is south of campus in a fun atmosphere by King Henry and Centennial! Perks:
-Right next to a shuttle to BYU and bus stop to UVU....
See More"
839,1 bed · 1 bath · Room Only,$325 / Month,"selling my PRIVATE ROOM for $350/month plus utilities, originally $400/month + utilities! available as early as beginning of May and goes until Mid-August, option to renew for fall as of now. FREE PARKING (literally amazing) and washer/dryer in unit! if you're looking to room with a friend or two, let me know, i can make it happen. south of BYU campus and within minutes walking distance. message me for more details! :)"
840,Women’s Shared Room Spring/Summer,"$250 · Provo, UT","BYU/UVU Women's Shared Room Spring/Summer
BDA Apartments
☆ Just a block away from campus and right next to Ylot and Brick Oven. Really short walk to BYU!
☆ Washer, dryer, and dishwasher included...




See More"
841,3 Bedroom 2 Bathroom - Apartment,"$140 · Provo, UT","Spring/Summer shared room women’s contract at Blueridge Apartments! Available April 27th!! Renewable! Super social and in the best ward ever! Rent is $140 a month!
Apartment Features:
- 3 bedroom 2 bathroom
- BYU approved...






See More"
842,3 beds · 2 bath · Apartment,$450 / Month,"Newer, beautiful daylight accessory apartment in Pleasant Grove in a great neighborhood!
491 E 700 N, Pleasant Grove
1 private bedroom, shared bathroom for one FEMALE tenant, age 20's - 30's, with high standards. Apartment shared with two other roommates, 3 total....
See More"
843,3 beds · 2 bath · Apartment,$200 / Month,Raintree is a great place! This unit is right above the laundry so that is nice. It also comes with google fiber. Also there are only 4 Roomate’s including myself and they are also trying to sell. So if you want to move in with a Roomate this is a great place.
844,Santa Fe - 4 man apartment (2 shared rooms),"$270 · Provo, UT","Santa Fe apartments (802 N 700 East Provo) is about as close as you can get to BYU campus without actually living on campus. It's about a half a block from south campus.
The apartment is part of an incredible ward and in a great area with a corner grocery store half a block away."
845,3 Bedroom 2 Bathroom - Apartment,"$310 · Provo, UT","Hey Everyone! We are selling a female shared contract over here at Centennial Apartments! It is available RIGHT NOW and is RENEWABLE if you act fast!
There is a rec room, pool, grill/fire pit area, hot tub, and on-site laundry! It's an incredible place to live with an awesome social environment! We are also right across the street from the BYU Ryde shuttle!
Go here for a Virtual 3D Tour!...
See More"
846,Luxury Apartment near UVU,"$479 · Orem, UT","PRIVATE ROOMS
LARGE IN UNIT LAUNDRY
HUGE TV IN EVERY APARTMENT ...
See More"
847,3 Bedroom 2 Bathroom - Apartment,"$300 · Provo, UT","Hey Everyone! We are selling a male shared contract over here at Centennial Apartments! Available right now for $300!
There is a rec room, pool, grill/fire pit area, hot tub, and on-site laundry! It's an incredible place to live with an awesome social environment! We are also right across the street from the BYU Ryde shuttle!
Go here for a Virtual 3D Tour!...
See More"
848,Alpine Village (Private Room),"$439 · Provo, UT","Alpine Village
Looking to sell contract ASAP!
•$439 + utilities ...




See More"
849,2 beds · 1 bath · Apartment,$405 / Month,"2 Beds 1 Bath - Apartment
**CONTRACT or SUBLEASE**
My sister and I are selling our summer contracts or subleasing our rooms at Belmont condos! ...








See More"
850,4 beds · 3.5 bath · Apartment,$650 / Month,"Utilities included in price. AVAILABLE NOW.
Men's Master Bedroom available in Vineyard Edgewater.
- 6 month lease and then month to month ...




See More"
851,Alpine village womans contract spring/summer,$300 ·,"I love this apartment! It was the beat ward ever and the cutest roommates. The only reason I’m selling my contract is because I had to move home due to Covid-19. It includes a washer and dryer in the room, private bedroom, gym, pool/hot tub, 2 bathrooms, and underground parking!"
852,Private Discounted Room,"$449 · Provo, UT","Private Room available NOW at CollegePlace Woodland! Contract goes until August and is renewable for fall. Super cute space, in-unit laundry, underground parking, within walking distance of campus and super fun and social ward! Contracts are normally $600+ but mine is only $449 plus utilities! Message me if interested :)"
853,2 beds · 1 bath · Apartment,$950 / Month,"https://www.rentler.com/places-for-r…/…/766-e-1600-s/2650339
-Spacious 2 bedroom apartment!
-Newly Painted ...
See More"
854,ISO Fall/Winter Contracts For 2,"$450 · Provo, UT","My friend and I are looking for contracts for this upcoming school year that are Fall/Winter only, so no year round. They can be private rooms in the same apartment or a shared room. Trying to stay under $400 but I understand private rooms are sometimes more. Preferably on the northwest side of BYU."
855,Mens Belmont Master Bedroom with covered Parking,"$390 · Soda Springs, ID","Normally $490, Discounting $100 because I NEED it sold. You won’t find another room as nice for anywhere near this price. My loss, your gain. Covered parking included. Biggest private room in Provo. Walk in Closet and Private Bathroom. 2 solid room-mates. Contract goes until August. Another contract is avaliable if you’re looking to move in with a friend."
856,2 Spots at Raintree Commons!! Awesome Roommates and awesome rent!,"$270 · Provo, UT","2 contracts for sale for summer/spring term! Raintree lowered their rent to $270 for the Summer which INCLUDES utilities and internet!
•Awesome roommates (who supplied an apartment TV)
-Has an awesome clubhouse with pool and hot tub
•Close to BYU and UVU with a shuttle that comes right to the front.
•Brand new super-fast internet!...





See More"
857,Branbury Shared Women's Apartment,"$300 · Provo, UT","APRIL RENT FREE! Available immediately! Shared room at the Branbury apartments, both contracts available so guaranteed move-in with your friend! Starting in May, ONLY $300 A MONTH, UTILITIES INCLUDED! Both contracts original price $379, but we are willing to pay the additional $79 a month per contract, and we'll Venmo you the $320 to cover the discounted rate. Great roommates! Super nice apartment with a hot tub, pool, gym, tanning bed, sand volleyball courts, basketball courts, game room, laundry, great parking! 2 bed 2 bath. Shared room and bathroom. 2 people per room, 4 people total. Contract goes until August. Please contact ASAP!"
858,1 bed · 2 bath · Private Room,$250 / Month,"Raintree Commons
near the BYU or UVU campus
two bathrooms with a separate vanity area. ...
See More"
859,6 beds · 3 bath · House,$290 / Month,"Selling my private contract for Summer or Winter/ Fall, $400 - 290 summer per month Seriously love this house! Great location and Ward, south of BYU campus, sad to move but getting married in the fall! DM if interested!
- Private master
- Shared Bath
- Free Parking
-$400 a month plus utilities ...




See More"
860,Men's Private Bedroom,"$499 · Orem, UT","Men's Private bedroom furnished with queen bed.
Designated parking spot
367 E 760 N Orem UT 84057...
See More"
861,"Basically private room in townhouse for the summer, can extend into fall and winter","$380 · Provo, UT","Selling my contract for a townhouse close to BYU. It’s a shared room but the girl who’s my roommate will be gone the whole summer, so it’ll basically just be only you living there!
It’s only $380 a month to live in a huge, spacious 3 story floor house. Move in ASAP is fine too.
I might sell my contract in the fall and winter, so you might be able to just live there from summer to next year! ...
See More"
862,Women’s Private Room Available Now!,"$450 · Orem, UT","I’m selling my contract at the Villas in Vineyard/Orem area! It’s available now! The lease ends June 30th so this could be a great short term lease with the option to renew!
⚡️Private room
⚡️Shared bath
⚡️3 clean & quiet roommates...



See More"
863,4 beds · 2 bath · Apartment,$395 / Month,"April’s rent is paid for, $150 off Mays rent, and will buy your parking pass! Got married and moved to Colorado and am looking for someone to take over the lease which goes through August(Let me know if you would want to stay longer and we can talk about how that works)! Loved living here with the cozy home and 3 great roommates(all RMs)!
Message me if you have questions or are interested. $395 + Utilities(about $63/Month) Covers all + Wi-Fi"
864,Men’s Shared Room - Branbury Park,"$300 · Provo, UT","You wont find a better place for this price in Provo. The rent is actually $405 a month, but if you take my contract for May through August I will cover $105 of that each month! Opportunity to renew for next year!
The amenities here include:
- Good size pool and hot tub
- Nice fitness center and game room in Clubhouse w/ 24 hour access
- Volleyball Net and Basketball Court...

See More"
865,Men’s Shared Room - Branbury Park,"$300 · Provo, UT","You wont find a better place for this price in Provo. The rent is actually $405 a month, but if you take my contract for May through August I will cover $105 of that each month! Opportunity to renew for Fall!
The amenities here include:
- Good size pool and hot tub
- Nice fitness center and game room in Clubhouse w/ 24 hour access
- Volleyball Net and Basketball Court...

See More"
866,Questions,"FREE · Provo, UT","My husband and I are looking for a 2 bedroom apartment starting in September because we are trying to expand our little family . Any help would be amazing! Looking for around $850 after utilities but we are willing to go up to $900.
We are open-minded to a 2 bedroom basement apartment as well only if we have a private entrance. People aren’t an issue because I come from a family of 16 I just like space 😂😂
(Provo or Orem)"
867,Looking for Fall Housing,"FREE · Provo, UT","My 2 roomates and I (3 of us) are looking for housing starting in the Fall!
Prefer closer to BYU campus and under $400. Also would like good parking.
Comment or message me!"
868,Spring Contract,"$255 · Provo, UT",Need a place for just spring? I’m selling my private room contract at the Avenues for $255 for May and June! Message me or comment below if interested!
869,2 beds · 2 bath · Apartment,$284 / Month,"Original price $384 but willing to pay $100 of rent so it’s only $284!!! Branbury Apartments! Has pool, hot tub, gym, rec room, tanning bed, sand volleyball courts, basketball courts! Super clean! Parking is always available and right outside the door. Shared bedroom. The best roommates ever!"
870,Woman's Private Room (Available now!),"$410 · Provo, UT","Spacious Private Room, $410 a month + utilities
APRIL RENT IS ALREADY PAID FOR!
5 minute walk to BYU (Apartment is south campus)!...
See More"
871,1 bed · 1 bath · Apartment,$980 / Month,"This Halladay Living apartment has high ceilings and is located near BYU and has great access to everything. It is only about 10 minute walk to the Provo Rec Center and the Free BYU student shuttle ride to Campus or a 10 minute walk to Provo City Center. The open floor plan and high ceilings provide great light. The kitchen has a lot of counter space and a lot of kitchen cabinets for storage. The kitchen comes with a dishwasher, oven, microwave, fridge, disposal and a pantry....
See More"
872,4 beds · 2 bath · Apartment,$407 / Month,"Do you want affordable housing 27 feet from campus?
Student Housing Shared Room Contracts for the Fall Now Available!!
-Fully Furnished
-Updated Samsung Appliances/Countertops
-Unbeatable Roommate Matching...







See More"
873,4 beds · 2 bath · Apartment,$494 / Month,"Do you want affordable housing 27 feet from campus?
Student Housing Private Room Contracts for the Fall Now Available!!
-Fully Furnished
-Updated Samsung Appliances/Countertops
-Unbeatable Roommate Matching...







See More"
874,1 bed · 1 bath · House,$410 / Month,"Lease is up end of May but you can renew! :) Mostly college students living here!
Super close to UVU (5 minute walk)
Private room
Walk in Closet
Driveway and street parking available!...
See More"
875,Men's Shared Room in House - Spring/Summer,"$250 · Provo, UT","Fully furnished shared room spot for the spring summer. Washer/dryer, private parking, lots of storage, google fiber, and a great ward. Chill roommates. I’d stay but I’m moving for a job. Message me if you have any questions or want to see it!! Utilities is usually $30"
876,✨OLD ACADEMY! spring/summer,"$440 · Provo, UT","HOTTEST APARTMENT COMPLEX IN PROVO
✨discount!! I’ll pay you 200$ cash to take this ✨
One HUGE private room available May 1st - August!...

See More"
877,Womens shared room,"$359 · Provo, UT","Selling my contract at the Riviera! It’s $407 a month including utilities but I am willing to pay for your utilities until the contract is up in August. It’s technically a shared room, but my roommate got married and got out of her lease without selling her contract so right now it is a private room. It’s 2 bedrooms, but one of the other girls moved home so you technically would only have one other roommate. Since that extra spot is open you could also move in with a friend or 2! Available starting in June! Message me for more info!"
878,4 beds · 2 bath · Apartment,$250 / Month,"I'm selling my HUGELY DISCOUNTED contract at Fernwood for spring/summer! It's only $250 a month plus utilities (normally $385 plus utilities) for all of the following:
* Private room
* Free assigned parking
* Washer/dryer in apartment
* Located a couple blocks south of BYU campus...



See More"
879,1 bedroom apartment for the summer,"$725 · Provo, UT","Need a safe place from Corona virus?
Why you can stay safe here:
1. Former resident was/is corona negative. And double safe, corona virus dies after 9 days of no living things to feed off of. No living thing has been in the apartment for over a month.
1. The AC is a window unit which means you will not have neighbor's shared air pumping into your space!
2. You can live here alone or with one other person....





See More"
880,ISO one bedroom one bathroom shared for fall,"$1 · Provo, UT","My roommate and I are looking into getting something like a studio apartment.
message me if you have anything!"
881,Two open rooms,"$450 · Orem, UT",https://www.movoto.com/…/161-e-500-s-9-prov…/pid_6pnz29qcoh/
882,3 Bedroom 2 Bathroom - Apartment,"$140 · Provo, UT","Spring/Summer shared room women’s contract at Blueridge Apartments! Available April 27th!! Renewable! Super social and in the best ward ever! Rent is $140 a month!
Apartment Features:
- 3 bedroom 2 bathroom
- BYU approved...






See More"
883,Off Campus for Freshman?,"FREE · Provo, UT",What BYU approved complexes close to campus have younger crowds? Gathering info for a freshman who may not get off the waitlist for a space in the dorms.
884,Large private room at carriage cove,$380 ·,I’m getting married and need to sell my contract at Carriage Cove ASAP! It’s a large private room for $380 a month. April is already paid and willing to pay $100 for the month of May! PM me if you want pics or more details
885,Women's Contract at Centennial,"$300 · Provo, UT","***Price negotiable***
Contract at Centennial Apartments! (One spot for a girl) from May to end of contract in August. (You'd be paying May - August).
A great apartment complex. The ward is amazing, my roommates are wonderful gals, there's a pool, hot tub, laundry machines and dryers, and a rec room as well! My apt has extra storage and a piano too!...
See More"
886,Centennial Apartments - BYU/UVU housing! Great ward and roommates!,"$290 · Provo, UT","Centennial Apartments! (One spot for a guy) from April 23rd to end of contract in August! (You'd be paying May - August)
A great apartment complex, especially for RMs! The ward is amazing, the roommates are fun, there's a pool, hot tub, laundry machines and dryers, and a rec room as well! (Not to mention you could find your wife here😉)
Management is great, they're super friendly and deal with issues really quickly!...
See More"
887,4 beds · 2 bath · Apartment,$489 / Month,"4 Beds 2 Baths - Apartment
720 S 1200 W, Orem, UT 84058-5820, United States"
888,Private Discounted Room,"$449 · Provo, UT","Private Room available NOW at CollegePlace Woodland! Contract goes until August and is renewable for fall. Super cute space, in-unit laundry, underground parking, within walking distance of campus and super fun and social ward! Contracts are normally $600+ but mine is only $449 plus utilities! Message me if interested :)"
889,Married Housing,"$900 · Honolulu, HI","Fiancé and I are looking for a place to live near or in Provo starting near the end of May!:) Would like to stay under $1000 and be pet friendly 🐾
Thanks!"
890,Apartments,Contact Seller ·,At SouthPointe Apartments in Provo we have non-BYU approved Housing available located at 868 E 300 S! Contact me for details! 🙂
891,Apartment - Spring/Summer - BYU Approved,"$355 · Provo, UT","I'm selling my private, furnished room @ Belmont Condos for spring/summer! I am willing to help pay $100 a month to help lower the price from $455 to $355.
Amazing location near downtown Provo, washer and dryer on unit, free parking stall, fully furnished, and BYU approved!
Please comment below or message me for pics and more info!"
892,Large Private Bedroom in house,"$650 · Orem, UT","We have a women’s room available in our house in Vineyard. It’s a nice big house with a finished basement and theater room. The house and room are furnished.
Bedroom details:
Includes a bed frame and mattress
Walk in closet ...
See More"
893,2 beds · 1 bath · Apartment,$335 / Month,"I'm selling the rest of my contract at East Pointe (300 N 500 E). $335 a month includes everything!! (water, electricity, amenities). Washing machines on the property, excellent ward, walking distance to BYU. Building was remodeled on the inside in 2019, everything works perfectly! Contract goes to end of summer. April rent is paid for, move in anytime!"
894,Stadium 150 Student Male Housing Contract,"$365 · Cottonwood Heights, UT","I'm Selling my BYU Approved Housing contract at Stadium 150!
The Rent and utilities combined is $365 a month.
Features:...
See More"
895,MENS PRIVATE ROOM FOR FALL @ EAST POINTE,"$400 · Provo, UT","*** I can get you $100 off your security deposit ***
2 bedroom, 1 bathroom apartments (1 shared and 1 private = 3 man apartment. Only private rooms left)
-Recently renovated apartment...
See More"
896,2 spots available at Raintree Commons!! Willing to negotiate price!,"$270 · Provo, UT","2 contracts for sale for summer/spring term! Raintree lowered their rent to $270 for the Summer which INCLUDES utilities and internet!
•Awesome roommates (who supplied an apartment TV �)
-Has an awesome clubhouse with pool and hot tub
•Close to BYU and UVU with a shuttle that comes right to the front.
•Brand new super-fast internet!...




See More"
